 ,emotions
টবে পুঁইশাক চাষ। ডালপালা ছড়িয়ে বেয়ে উঠেছে পাশের টবের গোলাপ গাছকে জড়িয়ে। #kitchengarden,Caring
বাচ্চারা এসব করলে আমরা বলি দুষ্টামি। বিলাইরা করলে কি বলা যাবে বিটলামি?           তোর শাওয়ার কার্টেনটা কামড়াতে হবে ‘কিরপান্নে‘? বিটলা যেন কোন দেশি! #funnycats,Disguest
কত শিউলির আনন্দ যায় ডেকে ডেকে।,Joy
"ইলিশ ভাজা খেতে মজা, গরম গরম হলে।",Joy
শিশুকালের অতি প্রিয় কবিতা। সামান্য ক্ষতি-লিখেছেন রবীন্দ্রনাথ ঠাকুর। কবিতাটা আমাদের পাঠ্য বইয়ে সংক্ষেপিত ছিলো। কবিতাটা বেশ দীর্ঘ। দ্বিতীয় প্যারাটা বইয়ে ছিলো না। তাই অপরিচিত লাগতে পারে। #সামান্যক্ষতি,Sadness
"হানিমুন

বিয়ের আগে প্রেমিক পুরুষরা  কত কথাই  না বলে, বিয়ের পরে কেউ কথা রাখে না। আমার উনি বলতেন, ‘বিয়ের সময় আমি চিল্লায় যাবো।‘ মানে হলো উনি চল্লিশ দিনের ছুটি নিবেন। বিয়ের পরে বলে, ‘পনের দিনের ছুটি নিলাম। অত ছুটি নিয়ে কি হবে, যখন কোথাও বেড়াতে যাবো না!‘
উনি পল্লী বিদ্যুতায়ন বোর্ডের সহকারী প্রকৌশলী, আমি সম্পূর্ণ বেকার। কোথাও  বেড়াতে যাওয়ার মতো পয়সা নেই। মোহাম্মদপুরের তাজমহল রোডে দুই রুমের ভাড়া বাসায় থাকি।  রিকশায় করে মোহাম্মদপুর বাজারে যাই, এক ঠোঙ্গা বাদাম কিনে দুজনে মিলে কাটুশ কুটুশ খাই।

সঙ্গত কারনেই বাসায় টেলিফোন নেই ।  বিয়ের সপ্তাহখানেক পরে অফিস থেকে পিওন এসে বলল, ‘বড় সারে আপনেরে সালাম দিছে।‘উনি অলাইকুমুসসালাম দিতে অফিসে গেলেন। স্যার বললেন, ‘বাসায় বসে থেকে কি করবেন, অফিসে   জয়েন করেন। ইস্টার্ন ক্যাবলসে একটা ইনস্পেকশন করে আসেন । ভাবিকে ও সঙ্গে নিয়ে যান।‘
ওনার ধারনা বউ নিয়ে চিটাগাং থেকে ঘুরে আসার সুযোগ করে দেয়ার জন্যই বস তাকে বাসা থেকে ডেকে পাঠিয়েছেন।  হতে ও পারে, দুনিয়া বড়ই বিচিত্র! জীবনে অনেক লোকের কাছে থেকে অপ্রত্যাশিত ভালবাসা এবং উপকার পেয়েছি। এটাও তাই, আমি ও মনে করি ওনার বসের উদ্দেশ্য ছিল মহৎ।

আমরা ট্রেনে করে চট্টগ্রাম  গেলাম। উঠলাম ফৌজদারহাটে পল্লী বিদ্যুতায়ন বোর্ডের রেস্ট হাউসে।  পরদিন উনি ইস্টার্ন কেবলসে ইনস্পেকশন এর কাজ সারেন উড টেকনোলজিস্ট ইলিয়াস ভাইকে সঙ্গে নিয়ে। আমিও সঙ্গে ছিলাম। টেস্টিং এর পুরোটাই অবলোকন করলাম। ওই দিনই বিকেলবেলা আমরা পতেঙ্গা সী বীচে বেড়াতে গেলাম। কিছু ছবি তুললাম। এই প্রথম আমার চট্টগ্রামে আসা এবং সমুদ্র দর্শন। আমরা সমুদ্রে সূর্যাস্ত দেখলাম। সেই দৃশ অপরূপ।
ইস্টার্ন  কেবলসে কাজ  ছিল এক দিনের। 

আমার ভাই তখন আর্মি মেডিকেল কোরে ক্যাপ্টেন।  পোস্টিং লংগদু উপজেলার মাইনীমুখ ইউনিয়নে। জায়গাটা রাঙ্গামাটি শহর থেকে অনেক ভিতরে, কাপ্তাই লেকের ভিতর দিয়ে লঞ্চে করে যেতে ছয় ঘণ্টা লাগে। ভাই আমাদের বিয়েতে এসে বারবার করে মাইনীমুখে বেড়াতে যেতে অনুরোধ করেছেন।  কিন্তু সেটা যে এত তাড়াতাড়ি হবে, আমরা তখন ভাবিনি। পরদিন বাসে করে রাঙ্গামাটি গেলাম। ভাই এর কথামতো রাঙ্গামাটি এসে ওখানকার আর্মির অফিসে গেলাম। ওখান থেকে ভাই কে ওয়ারলেসে খবর দিলে তিনি আমাদের নেয়ার  ব্যবস্থা করবেন। গিয়ে দেখি কি কারনে যেন অফিসটা বন্ধ। আমরা লোকজনদের জিজ্ঞেস করে  মাইনীমুখ যাওয়ার লঞ্চঘাট খুঁজে বের করলাম এবং লঞ্চে করে রওয়ানা হলাম মাইনীমুখের উদ্দেশ্য।
আমাদের হোস্টেলে থাকতেন দুইজন চাকমা দিদি। ওনারা সব সময় বলতেন বাংলাদেশের সবচেয়ে সুন্দর জায়গা রাঙ্গামাটি।  আমার মনে হতো নিজেদের বাড়ি তাই একটু বাড়িয়ে বলছেন। কিন্তু রাঙামাটির সৌন্দর্য দেখে মনে হল ওনারা ঠিকই বলেছেন।

কাপ্তাই লেকের শান্ত জলে লঞ্চে করে ছয় ঘন্টার জার্নি ছিল অসাধারণ।  আমি লঞ্চে উঠে সবার সঙ্গে গল্প করতে লাগলাম। চারিদিকে পাহাড় আর সবুজে ঘেরা দ্বীপ আর হ্রদ দেখতে দেখতে আর গল্প করতে করতে আমরা পৌঁছে গেলাম মাইনীমুখ।  যাওয়ার পথে একটা জায়গা খুব সুন্দর। দুই দিকে দুই খাড়া পাহাড়। মাঝখানে জলের  মধ্য দিয়ে লঞ্চ চলে গেছে ।

আমার বিয়ের ঠিক পনের দিনের মাথায় সন্ধ্যা নামার মুখে আমরা হাজির হলাম মাইনীমুখ। অস্তগামী সূর্য তাঁর লাল আভা ছড়িয়ে দিচ্ছে নীল দিগন্ত জুড়ে। সেই লাল লেকের জলে প্রতিফলিত হয়ে সৃষ্টি করছে অতি মায়াময় অপার্থিব দৃশ্যের।

সবাই আমাদের পেয়ে অনেক খুশি হলেন। এখানে যাদের পোস্টিং তারা অনেক কষ্টে থাকেন, অনেকটা সভ্যতা থেকে দূরে। তাই কারো আত্মীয় বেড়াতে এলে সবাই তাদের নিজেদের আত্মীয় মনে করেন  এবং খুশি হন। আমার ভাই বিয়ে করেননি তখনো, তাঁর সহকর্মীদের স্ত্রীরা আমাকে অনেক আদর যত্ন করলেন। এক ভাবী জানতে চাইলেন, ‘কতদিন হোল বিয়ে হয়েছে তোমার?‘ বললাম, ‘আজ পনের দিন হলো।‘ উনি বললেন, ‘তাই তো, তোমার হাত পায়ে তো এখনো মেহেদি আর আলতার রং লেগে আছে।‘
ওখানে তিনদিন মহা আনন্দে কাটালাম। ছোট ছোট দ্বীপ, স্পীডবোটে করে দ্বীপগুলতে যাতায়াত করা হয় ।  পাশের দ্বীপে বন বিভাগের অফিস এ গেলাম। আমাদের  সম্মানে একদিন পার্টি ও দেয়া হোল। আমরা থাকলাম আর্মির রেস্ট হাউসে একরাত, আর রাবেতা ইসলামীর রেস্ট হাউসে দুই রাত। আর্মির রেস্ট হাউসটা কাঠ, বেত আর বাসের তৈরি, খুবই সুন্দর। রাবেতারটা  আধুনিক তিন তলা পাকা বিল্ডিং ।
আমদের ফেরার দিন আমার ভাই রাবেতার ছোট্ট একটি লঞ্চের ব্যবস্থা করে দিলেন। লঞ্চটা এত ছোট যে মাত্র দুই জন যাত্রীই এতে যেতে পারে । আমার ভাই দুইটি প্রকাণ্ড চিতল মাছ ও দিয়ে দিলেন ঢাকায় নিয়ে আসার জন্য । আবারো সেই লেক, পাহাড় আর চারিদিকে সবুজের সমারোহ  দেখতে দেখতে আমরা ফিরলাম রাঙ্গামাটি । রাঙ্গামাটি শহরের  বাসস্ট্যান্ডে  এসে দেখি পরিবহন ধর্মঘট । বাস চলছে না, অন্যদিকে লঞ্চটাও  ছেড়ে দিয়েছি। কিন্তু মাইনীমুখ ফিরে যাওয়া কোন সমাধান না। আমাদের তো ঢাকায় যেতে হবে। কি করব ভাবছি, এর মধ্য দেখি কিছু লোক মিলে একটা টেম্পু ভাড়া করে চট্টগ্রামে যাওয়ার প্রস্তুতি নিচ্ছে।  ওনাদের সাথে কথা বলে আমরা ওই টেম্পুতে উঠে  পড়লাম। মাছের বাক্সের  জন্য একটা সিট নিলাম, আমার পাশে। কিছুক্ষণ চলার পরে মাছের বরফ গলে পানি ছাড়তে লাগলো। আমি ব্যাগ থেকে  তোয়ালে বের করে  বাক্সের পাশে দিলাম। পাহাড়ী পথে টেম্পুতে করে ভয়ে ভয়ে যাচ্ছিলাম, যান্ত্রিক ত্রুটির কারনে টেম্পুটা আবার থেমে না যায় । ধর্মঘটের কারনে রাস্তা পুরা ফাঁকা। রাউজানে আসার পরে ধর্মঘটকারীরা টেম্পুচালককে দিল বেধড়ক মার, ধর্মঘট না মানার কারনে । আমরা যাত্রীরা সবাই নেমে দাঁড়ালাম। মারধর শেষ করে তারা টেম্পুওয়ালাকে বলল, ‘যা লোকগুলোকে আনছিস যখন জায়গামতো পৌঁছে দিয়ে আয়।‘ বেচারা কাঁদতে কাঁদতে আমাদেরকে নিয়ে পৌঁছে দিল যার যার গন্তব্যে।

ফৌজদারহাটে পল্লী বিদ্যুতায়ন বোর্ডের রেস্টহাউসে পৌঁছে বাবুর্চিকে বললাম মাছগুলোকে বড় বড় পিস করে (একটা ৪/৫ টুকরা) ডিপ ফ্রিজে রাখতে।  পরদিন হানিফ পরিবহনের বাসে করে ঢাকায় ফিরব ।  বাসের টিকিট আগেই কাটা  আছে। বাস স্ট্যান্ডে গিয়ে বাসে উঠার সময়ে কন্ডাক্টর/ড্রাইভার বলল যে বাসে মাছ নেয়া যাবে না। গন্ধ এবং পানির জন্য অন্য যাত্রীদের অসুবিধা হবে। অনেক অনুরোধ করে, মাছের জন্য ভাড়া দিয়ে গাড়ির ছাদে মাছের বস্তা বেঁধে নেয়ার  ব্যবস্থা করা হলো ।

দাউদকান্দি ফেরীঘাটে এসে বাস থামল। আমরা নামলাম একটু হেঁটে আসতে। আমরা হেঁটে নদীর কাছ পর্যন্ত গেলাম,  ঘুরেফিরে বাসের দিকে ফিরছি,  একজন সহযাত্রী  আমাদের খবর দিলেন যে বাসের ছাদে আমাদের মাছ পাখি ঠোকরাচ্ছে।

আমরা তাড়াতাড়ি করে বাসে ফিরে এসে দেখি বাসের ছাদে অনেক পাখি মাছ খাওয়ার চেষ্টা করছে। উনি নীচ থেকে পাখি তাড়ানোর চেষ্টা করলেন, সফল হলেন না। লোকে বুদ্ধি দিলো, এভাবে পাখি তাড়ানো যাবে না, ছাদে উঠে বসে থাকতে হবে। তিনি তাই করলেন। বাস ফেরী পার হয়ে আবার চলা শুরু না করা পর্যন্ত ছাদে বসে থাকলেন । উনি ছাদে আর আমি বাসে জানালার কাছে বসে সারাক্ষণ গল্প করলাম। এটা শুনে আমার বড় ছেলে নিশ্চয়ই বলবে, ‘খুব রোমান্টিক ব্যাপার। সত্যি  বিষয়টা রোমান্টিক ছিল।‘ তবে আমার কাছে সবচেয়ে রোমান্টিক ছিল ছোট্ট লঞ্চটিতে করে  মাইনীমুখ থেকে রাঙ্গামাটি ফেরার সময়টুকু ।

বড় কোন দুর্ঘটনা ছাড়া আমরা ঢাকায় এসে পৌঁছলাম ।  আসাদ গেটের কাছাকাছি এসে আমার স্বামী কন্ডাক্টরকে বলল যে আমরা আসাদগেটে নামবো যেন বাস থামায়।  কন্ডাক্টর বলল, 'আসাদগেটে মাছ নামাইতে  পারুম না, মাছ নামামু গিয়া বাসের কাউন্টার শ্যামলীতে।'

এতক্ষণ মাছ নিয়ে যত যন্ত্রণা ইঞ্জিনিয়ার সাহেব সহ্য করেছেন, নতুন বউয়ের মুখের দিকে চেয়ে।  এবার তার ধৈর্যের বাঁধ ভেঙ্গে গেল।  উনি বললেন, ‘ঠিক আছে,  আমাদের আসাদ গেটে নামিয়ে দিয়ে যাও। মাছ তোমরা নিয়ে যাও।‘ কন্ডাক্টর আর কথা বাড়াল না, মাছসহ আমাদের আসাদগেটে  নামিয়ে দিয়ে গেল। সেই মাছ পরে ভাই বোনদের বাসায় কিছু দিলাম, কিছু নিজেরা খেলাম।
আমার ভাই বেশ কয়েক বার কাপ্তাই লেকের মাছ এনেছেন। পরে তাকে জিজ্ঞেস করে জানতে পারি তিনি ট্রেনে করে আনতেন। এতো ঝামেলা হতো না। 

অনেক আগের লেখা (রিপোস্ট)।",Realization
প্লেনের জানালা দিয়ে তোলা পোর্টল্যান্ড এয়ারপোর্ট। #portlandoregon,Joy
পেয়ারার জেলী বানাই। #guavajelly Sadia Rimi,Joy
সজনে পাতা ভাজি। খেতে ভালো লেগেছে।,Admiration
সজনে পাতার বহুমুখী গুনের কথা জেনে প্রথমে শরবত করে খাওয়ার চেষ্টা করলাম। ভালো লাগলো না। দেখলাম কিছু ডাল দেয়াল টপকে পাশের বাসার দিকে রওয়ানা দিয়েছে। অবাধ্যতার শাস্তি দিলাম। কেটেকুটে রেধে ফেললাম।,Caring
"Honolulu, Hawaii এর পথে পথে প্রকৃতি অপূর্ব সৌন্দর্যে সেজে আছে। #honoluluhawaii #honolulu",Amusement
গত বছরের ছবি।,Joy
আমেরিকার কোরবানীর হাটে। গন্ধ ছিল ব্যাপক। #chino #chinohills,Embarrasment
গত বছর অক্টোবরের ৪ তারিখে বৃষ্টি হয়েছিল। এ বছর বৃষ্টি রাগ করেছে এখনো আসেনি।,Remorse
বাগান বিলাসের বিলাসি ফোটা। নয়ন জুড়িয়ে যায়।,Admiration
"গোলাপের সৌন্দর্য দেখে মন ভরেছে, চোখ জুড়িয়েছে। আপনারাও দেখুন।",Admiration
My son Nafi's birthday cake. বউমা কিনে এনেছে। #happybirthday,Joy
Washington orange. বেশ বড় আর রসাল মজাদার মাল্টা। হবে না আমেরিকার প্রথম প্রেসিডেন্টের নামে নাম বলে কথা। #washintonorange,Admiration
পোর্টল্যান্ডের ওয়াশিংটন পার্কের গোলাপ বাগান। পাখির ডাক আছে বলে গান দিলাম না।,Joy
Palos Verdes Peninsula. প্রশান্ত মহাসাগরের পাড়ের অন্য একটা পার্কে। এখানেই আমরা আমার বড় ছেলের ৩২তম জন্মদিনের কেক কাটি এবং দুপুরের খাবার খাই।,Joy
ট্রেনের জানালা দিয়ে তোলা দিগন্ত বিস্তৃত ফসলের মাঠ আর গাছপালা।,Realization
"আমার দুই বাবার গল্প 
আমার আব্বা একবার আমার বাসায় বেড়াতে এলেন। আমরা থাকি খুলনার শিরোমনিতে, পল্লী বিদ্যুতায়ন বোর্ডের অফিসের বাসায়। আব্বার জন্য এটা সেটা রান্না করে খেতে দেই। আব্বা বলেন, 'আব্বাকে সব কিছু খাওয়াতে ইচ্ছা করে তোমার? কিন্তু আগের মতো আর খেতে পারি না।' 
শুনে আমার মন খারাপ হয়।  
 
আমার ছেলে নাফির বয়স সাত/আট বছর হবে। আব্বা বলেন, 'ও কার মতো দেখতে হয়েছে?'
- কেন আপনার মতো। 
- ঠিক, ওর মতো বয়সে মনে হয় আমি অমনই দেখতে ছিলাম। ভালোই হলো, আমি মারা গেলে তোমার আর কষ্ট হবে না। এক বাবা চলে গেলে আর এক বাবা তো থাকলো। 
আমার আবারো মন খারাপ হয়। এ দুনিয়ায় কেউ কাউকে রিপ্লেস করতে পারে না, আবার কারো জন্য কিছু থেমেও থাকে না। আজব এই দুনিয়া।    
 
নাফি আব্বার সাথে বসে গল্প করে, আমি রান্না ঘরে। আমি ঘরে আসার পরে আব্বা বললেন, 'তোমার ছেলে কি বলে জানো?'  
- কি বলে? 
আব্বার কাছ থেকে যা শুনলাম তা হলো এরকম। আব্বা পাঞ্জাবির নিচে হাফ হাতার পাতলা গেঞ্জি পরেন। আব্বা ওই গেঞ্জিগুলোর একটা বাসায় পরে আছেন। আমার ছেলে আব্বার গেঞ্জিতে একটা ফুটা খুঁজে পেয়ে আব্বাকে জিজ্ঞেস করেছে, 'নানা, আপনি বড়লোক না গরিব লোক?' 
আব্বা হাসতে হাসতে উত্তর দিয়েছেন, 'কেন আমি বড়লোক!'
 তখন নাফির জবাব হলো,  'না  আপনার গেঞ্জিতে ফুটা, তাই আপনি বড়লোক না। বড়লোক হলো  আমার বড় মামা, কারণ তার এসিওয়ালা গাড়ি আছে।' 
 
বড়লোক গরিবলোক প্রসঙ্গে আমার ছেলের এতো স্বচ্ছ ধারণা দেখে আমি হাসব না কাঁদব বুঝতে পারছি না।  সে কিন্তু বলেনি, 'আমি বড়লোক কারণ আমার অনেকগুলো খেলনা গাড়ি আছে' বা 'আমার বাবা বড়লোক কারণ তার অফিসের পিক আপ আছে।' 
মনে মনে ভাবলাম, 'ইনি বড় হইয়া নিশ্চয়ই বড়লোক হইবেন।'  
 
আব্বা হাসতে হাসতে তাকে বলেছেন, 'তোমার বড়মামা তো আমার ছেলে, তাই তার যা আছে আমারও তা আছে। তাই আমিও বড়লোক।' 
এইবার ব্যাটা চুপ করলো। এতো বেশি জটিল কথা মনে হয় সে বুঝতে পারেনি।
 
আমি মনে মনে ভাবি, 'আমার আব্বাকে তুই গরিব লোক বলিস? জানিস তাঁর দুইখানা নৌকা আছে। একখানা নিয়ে কোথাও বেড়াতে যান, আর একখানা দিয়ে খেত থেকে আউশ ধান কেটে বাড়িতে আনান।'  
 
দুই ছেলেকে নিয়ে অস্ট্রেলিয়ায় গেছি মাস্টার্স করতে নাফির আট আর নাবিলের তিন বছর বয়স। হেঁটে হেঁটে বাজার করতে যাই দুজনকে নিয়ে। একটা ওভারব্রিজ পার হওয়ার সময় উপর থেকে নিচে গাড়ি দেখে আর বলে, 'ভাইয়া, ওই যে একটা ছাদ খোলা গাড়ি যায়।' 
একটু পরে তার ভাইয়া বলে, 'দেখ নাবিল দেখ, ওই যে আর একটা ছাদ খোলা গাড়ি যায়।' 
এভাবে চলতেই থাকে। আমি মনে মনে ভাবি, 'আমার জীবনের লক্ষ্য একটা ছাদ খোলা গাড়ি কেনা, স্কুলে থাকতে ""জীবনের লক্ষ্য"" রচনায় যা কিছু লিখেছিলাম সব বাদ।'  
 
নাফির তিন/চার বছর বয়স। লেপ গায়ে রাখে না, শুধু লাথি মেরে ফেলে দেয়। আমি বলি, 'এই লেপ ফেলে দিস কেন?'
- আমি গরিব মানুষ, আমার লেপ লাগে না। 
  
আসল আব্বা হারিয়ে গেছেন। আমার জীবনে ছাদ খোলা গাড়ি আর কেনা হয়নি। নকল আব্বা নিজের আয়ের টাকায় ছাদ খোলা গাড়ি কিনে চালিয়ে বেড়ান। ছোট ছেলে  প্রায় সন্ন্যাসী, তার কোনকিছুর শখ নেই। 
 
আমি নাফিকে সুবিধামত কখনো বড়লোক আবার কখনো গরিবলোক বলে ক্ষ্যাপাই।",Remorse
বাগান বিলাসের গায়ে প্রভাতের মৃদু সমীরণ স্নেহের পরম বুলিয়ে দিচ্ছে।,Love
"https://youtu.be/y1AjPuUMVKU
কবিতাটা শুনুক, কৈশরে ফিরে যান ক্ষণিকের জন্য।",Relief
প্লেনের জানালা দিয়ে নরম তুলার ধবল বিছানা পাতা দেখে কার না লাফ দিতে ইচ্ছা করে! #sky,Relief
Palos Verdes. প্রশান্ত মহাসাগরের পাড়ের একটা পার্কে বেড়াতে গিয়েছিলাম।#palosverdes,Joy
আমেরিকার রাস্তা দিয়ে যেতে ধনী লোকদের বাড়িঘর আর দৃশ্য দেখি।,Admiration
কন্যা শিশু দিবস শেষ হতে না হতেই আজ নাকি আবার আমেরিকায় জাতীয় পুত্র দিবস। এই যে তেনারা।,Confusion
